column_name,descriptions
nih_spending_cats  ,"Congressionally-mandated reporting  categories into which NIH projects are categorized. Available for fiscal  years 2008 and later. Each project’s spending category designations for  each fiscal year are made available the following year as part of the next  President’s Budget request. See the  Research,  Condition, and Disease Categorization System  for more information on the  categorization process."
org_city  ,"The city in which the  business office of the grantee organization or contractor is located.  Note  that this may be different from the research performance site.  For all NIH intramural projects, Bethesda, MD is  used. "
org_country  ,The country in which  the business office of the grantee organization or contractor is located.   Note that this may be different from the research performance site. 
    org_dept,"  The departmental affiliation of the contact principal  investigator for a project, using a standardized categorization of departments.   Names are available only for medical school departments. "
      org_district,  The congressional district in which the business office  of the grantee organization or contractor is located.  Note that this may  be different from the research performance site. 
org_duns,"  This field may contain multiple DUNS Numbers separated by a semi-colon. The Data Universal Numbering System is a unique nine-digit number assigned by Dun and Bradstreet Information Services, recognized as the universal standard for identifying and keeping track of business worldwide. 
  "
org_fips,  The country code of the grantee organization or contractor  as defined in the Federal Information Processing Standard. 
org_name,"  The name of the educational institution, research organization, business, or government agency receiving funding for the grant, contract, cooperative agreement, or intramural project. "
      org_state,  The state in which the business office of the grantee  organization or contractor is located.  Note that this may be different from  the research performance site. 
        org_zipcode,  The zip code in which the business office of the grantee  organization or contractor is located.  Note that this may be different  from the research performance site.
phr  ,"Submitted as part of a grant application, this  statement articulates a project's potential to improve public health. "
pi_id(s),  A unique identifier for each of the project  Principal Investigators.  Each PI in the RePORTER database has a unique  identifier that is constant from project to project and year to year. 
pi_name(s),  The name(s) of the Principal Investigator(s)  designated by the organization to direct the research project. 
program_officer_name  ,An Institute staff member who coordinates the substantive aspects of a contract from planning the request for proposal to oversight. 
project_start  ,"The start date of  a project.  For subprojects of a  multi-project grant, this is the start date of the parent award. "
project_end  ,"The current end date  of the project, including any future years for which commitments have been made.  For subprojects of a multi-project grant,  this is the end date of the parent award.  Upon competitive renewal of a  grant, the project end date is extended by the length of the renewal  award. "
project_terms  ,"Prior to fiscal year 2008, these were thesaurus  terms assigned by NIH CRISP indexers.  For projects funded in fiscal year  2008 and later, these are concepts that are mined from the project's title,  abstract, and specific aims using an automated text mining tool. "
project_title  ,"Title of the funded grant, contract, or intramural  (sub)project. "
serial_number ,A six-digit number assigned in serial number order within  each administering organization. 
study_section  ,A designator of the legislatively-mandated panel of  subject matter experts that reviewed the research grant application for  scientific and technical merit. 
    study_section_name ,  The full name of a regular standing Study  Section that reviewed the research grant application for scientific and  technical merit.  Applications reviewed by panels other than regular  standing study sections are designated by “Special Emphasis Panel.”
subproject_id  ,A unique numeric designation assigned to  subprojects of a “parent” multi-project research grant. 
suffix  ,"A suffix to the grant application number that includes the  letter ""A"" and a serial number to identify an amended version of an  original application and/or the letter ""S"" and serial number  indicating a supplement to the project. . "
support_year  ,"The year of support  for a project, as shown in the full project number.  For example, a project with number  5R01GM0123456-04 is in its fourth year of support."
direct_cost_amt  ,Total  indirect cost  funding for a project from all NIH Institute and Centers for a given fiscal year.  Costs are available only for NIH awards funded in FY 2012 and onward. Indirect cost amounts are not available for SBIR/STTR awards.
indirect_cost_amt  ,Total  indirect cost  funding for a project from all NIH Institute and Centers for a given fiscal year.  Costs are available only for NIH awards funded in FY 2012 and onward. Indirect cost amounts are not available for SBIR/STTR awards.
total_cost  ,"Total project funding from all NIH Institute and Centers for a given fiscal year. Costs are available only for: NIH, CDC, and FDA grant awards (only the parent record of multi-project grants). -NIH intramural projects (activity codes beginning with “Z”) in FY 2007 and later fiscal years. -NIH contracts (activity codes beginning with “N”) .   For multi-project grants, Total_Cost includes funding for all of the constituent subprojects.  This field will be blank on subproject records; the total cost of each subproject is found in Total_Cost_Sub_Project ."
total_cost_sub_project  ,Applies to subproject  records only.  Total funding for a subproject from all NIH  Institute and Centers for a given fiscal year.  Costs are available only for NIH awards.  
